l1=27, l2=29, l3=1, acc: 72.79%
l1=28, l2=20, l3=1, acc: 70.57%
l1=28, l2=21, l3=1, acc: 64.58%
l1=28, l2=22, l3=1, acc: 71.22%
l1=28, l2=23, l3=1, acc: 72.92%
l1=28, l2=24, l3=1, acc: 70.83%
l1=28, l2=25, l3=1, acc: 66.93%
l1=28, l2=26, l3=1, acc: 73.44%
l1=28, l2=27, l3=1, acc: 72.92%
l1=28, l2=28, l3=1, acc: 70.57%
l1=28, l2=29, l3=1, acc: 73.31%
l1=29, l2=20, l3=1, acc: 71.48%
l1=29, l2=21, l3=1, acc: 75.78%
l1=29, l2=22, l3=1, acc: 65.10%
l1=29, l2=23, l3=1, acc: 73.31%
l1=29, l2=24, l3=1, acc: 70.96%
l1=29, l2=25, l3=1, acc: 73.31%
l1=29, l2=26, l3=1, acc: 64.06%
l1=29, l2=27, l3=1, acc: 67.19%
l1=29, l2=28, l3=1, acc: 74.87%
l1=29, l2=29, l3=1, acc: 73.83%
l1=1, l2=1, l3=1, acc: 65.10%
l1=1, l2=1, l3=2, acc: 65.10%
l1=1, l2=1, l3=3, acc: 75.13%
l1=1, l2=1, l3=4, acc: 65.10%
l1=1, l2=1, l3=5, acc: 65.10%
l1=1, l2=1, l3=6, acc: 65.10%
l1=1, l2=1, l3=7, acc: 67.97%
l1=1, l2=1, l3=8, acc: 65.10%
l1=1, l2=1, l3=9, acc: 65.10%
l1=1, l2=2, l3=1, acc: 65.10%
l1=1, l2=2, l3=2, acc: 65.10%
l1=1, l2=2, l3=3, acc: 65.10%
l1=1, l2=2, l3=4, acc: 65.10%
l1=1, l2=2, l3=5, acc: 65.10%
l1=1, l2=2, l3=6, acc: 65.10%
l1=1, l2=2, l3=7, acc: 71.22%
l1=1, l2=2, l3=8, acc: 65.62%
l1=1, l2=2, l3=9, acc: 77.47%
l1=1, l2=3, l3=1, acc: 67.97%
l1=1, l2=3, l3=2, acc: 65.10%
l1=1, l2=3, l3=3, acc: 65.10%
l1=1, l2=3, l3=4, acc: 65.10%
l1=1, l2=3, l3=5, acc: 65.10%
l1=1, l2=3, l3=6, acc: 65.10%
l1=1, l2=3, l3=7, acc: 76.04%
l1=1, l2=3, l3=8, acc: 70.96%
l1=1, l2=3, l3=9, acc: 65.36%
l1=1, l2=4, l3=1, acc: 65.10%
l1=1, l2=4, l3=2, acc: 65.10%
l1=1, l2=4, l3=3, acc: 65.10%
l1=1, l2=4, l3=4, acc: 65.10%
l1=1, l2=4, l3=5, acc: 65.10%
l1=1, l2=4, l3=6, acc: 65.10%
l1=1, l2=4, l3=7, acc: 65.62%
l1=1, l2=4, l3=8, acc: 65.36%
l1=1, l2=4, l3=9, acc: 65.10%
l1=1, l2=5, l3=1, acc: 65.10%
l1=1, l2=5, l3=2, acc: 70.70%
l1=1, l2=5, l3=3, acc: 65.10%
l1=1, l2=5, l3=4, acc: 65.10%
l1=1, l2=5, l3=5, acc: 66.15%
l1=1, l2=5, l3=6, acc: 66.02%
l1=1, l2=5, l3=7, acc: 68.10%
l1=1, l2=5, l3=8, acc: 67.58%
l1=1, l2=5, l3=9, acc: 65.36%
l1=1, l2=6, l3=1, acc: 65.10%
l1=1, l2=6, l3=2, acc: 69.14%
l1=1, l2=6, l3=3, acc: 65.10%
l1=1, l2=6, l3=4, acc: 65.10%
l1=1, l2=6, l3=5, acc: 65.10%
l1=1, l2=6, l3=6, acc: 72.27%
l1=1, l2=6, l3=7, acc: 65.10%
l1=1, l2=6, l3=8, acc: 65.10%
l1=1, l2=6, l3=9, acc: 65.10%
l1=1, l2=7, l3=1, acc: 65.10%
l1=1, l2=7, l3=2, acc: 65.10%
l1=1, l2=7, l3=3, acc: 65.10%
l1=1, l2=7, l3=4, acc: 74.61%
l1=1, l2=7, l3=5, acc: 65.10%
l1=1, l2=7, l3=6, acc: 65.49%
l1=1, l2=7, l3=7, acc: 65.10%
l1=1, l2=7, l3=8, acc: 65.10%
l1=1, l2=7, l3=9, acc: 75.91%
l1=1, l2=8, l3=1, acc: 65.10%
l1=1, l2=8, l3=2, acc: 65.10%
l1=1, l2=8, l3=3, acc: 73.83%
l1=1, l2=8, l3=4, acc: 66.28%
l1=1, l2=8, l3=5, acc: 64.58%
l1=1, l2=8, l3=6, acc: 66.54%
l1=1, l2=8, l3=7, acc: 65.10%
l1=1, l2=8, l3=8, acc: 65.10%
l1=1, l2=8, l3=9, acc: 65.10%
l1=1, l2=9, l3=1, acc: 65.10%
l1=1, l2=9, l3=2, acc: 75.26%
l1=1, l2=9, l3=3, acc: 65.10%
l1=1, l2=9, l3=4, acc: 65.10%
l1=1, l2=9, l3=5, acc: 74.61%
l1=1, l2=9, l3=6, acc: 65.10%
l1=1, l2=9, l3=7, acc: 64.71%
l1=1, l2=9, l3=8, acc: 71.22%
l1=1, l2=9, l3=9, acc: 65.10%
l1=2, l2=1, l3=1, acc: 65.10%
l1=2, l2=1, l3=2, acc: 65.10%
l1=2, l2=1, l3=3, acc: 65.10%
l1=2, l2=1, l3=4, acc: 65.10%
l1=2, l2=1, l3=5, acc: 65.10%
l1=2, l2=1, l3=6, acc: 65.10%
l1=2, l2=1, l3=7, acc: 65.10%
l1=2, l2=1, l3=8, acc: 65.10%
l1=2, l2=1, l3=9, acc: 65.10%
l1=2, l2=2, l3=1, acc: 65.10%
l1=2, l2=2, l3=2, acc: 65.36%
l1=2, l2=2, l3=3, acc: 67.19%
l1=2, l2=2, l3=4, acc: 65.36%
l1=2, l2=2, l3=5, acc: 65.62%
l1=2, l2=2, l3=6, acc: 69.53%
l1=2, l2=2, l3=7, acc: 65.10%
l1=2, l2=2, l3=8, acc: 65.49%
l1=2, l2=2, l3=9, acc: 65.62%
l1=2, l2=3, l3=1, acc: 65.10%
l1=2, l2=3, l3=2, acc: 65.10%
l1=2, l2=3, l3=3, acc: 65.10%
l1=2, l2=3, l3=4, acc: 65.49%
l1=2, l2=3, l3=5, acc: 68.88%
l1=2, l2=3, l3=6, acc: 65.23%
l1=2, l2=3, l3=7, acc: 65.76%
l1=2, l2=3, l3=8, acc: 74.61%
l1=2, l2=3, l3=9, acc: 65.36%
l1=2, l2=4, l3=1, acc: 65.49%
l1=2, l2=4, l3=2, acc: 65.10%
l1=2, l2=4, l3=3, acc: 65.89%
l1=2, l2=4, l3=4, acc: 65.10%
l1=2, l2=4, l3=5, acc: 65.10%
l1=2, l2=4, l3=6, acc: 66.28%
l1=2, l2=4, l3=7, acc: 68.10%
l1=2, l2=4, l3=8, acc: 65.10%
l1=2, l2=4, l3=9, acc: 75.26%
l1=2, l2=5, l3=1, acc: 65.10%
l1=2, l2=5, l3=2, acc: 65.10%
l1=2, l2=5, l3=3, acc: 65.10%
l1=2, l2=5, l3=4, acc: 66.41%
l1=2, l2=5, l3=5, acc: 65.23%
l1=2, l2=5, l3=6, acc: 70.18%
l1=2, l2=5, l3=7, acc: 67.19%
l1=2, l2=5, l3=8, acc: 75.39%
l1=2, l2=5, l3=9, acc: 68.88%
l1=2, l2=6, l3=1, acc: 65.10%
l1=2, l2=6, l3=2, acc: 65.10%
l1=2, l2=6, l3=3, acc: 65.10%
l1=2, l2=6, l3=4, acc: 73.05%
l1=2, l2=6, l3=5, acc: 65.36%
l1=2, l2=6, l3=6, acc: 75.52%
l1=2, l2=6, l3=7, acc: 67.97%
l1=2, l2=6, l3=8, acc: 73.96%
l1=2, l2=6, l3=9, acc: 74.22%
l1=2, l2=7, l3=1, acc: 65.10%
l1=2, l2=7, l3=2, acc: 65.10%
l1=2, l2=7, l3=3, acc: 64.97%
l1=2, l2=7, l3=4, acc: 66.41%
l1=2, l2=7, l3=5, acc: 65.10%
l1=2, l2=7, l3=6, acc: 65.10%
l1=2, l2=7, l3=7, acc: 76.04%
l1=2, l2=7, l3=8, acc: 65.49%
l1=2, l2=7, l3=9, acc: 65.10%
l1=2, l2=8, l3=1, acc: 65.10%
l1=2, l2=8, l3=2, acc: 65.10%
l1=2, l2=8, l3=3, acc: 65.10%
l1=2, l2=8, l3=4, acc: 74.61%
